run_name,run_folder,predem,dem
081323-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230816_A02051_0201_AHJJYFDSX7,fail,fail
081723-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230817_LH00150_0161_B22C7N2LT3,done,done
081823-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230818_LH00150_0162_A22CC2NLT3,error,done
081823-NS4-fc3,/mnt/novaoutput/NovaSeq/MyRun/230818_A02051_0203_AHGYMFDSX7,done,done
081823-S1-fc1,/mnt/novaoutput/NovaSeq/MyRun/230818_A02051_0204_BHJ2JHDRX3,done,done
081923-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230819_A02051_0205_BHJJ3TDSX7,done,done
082123-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230821_LH00150_0163_A22CCMFLT3,done,done
082123-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230821_A02051_0206_AHJMTJDSX7,done,done
082323-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230823_LH00150_0164_A22CH3JLT3,done,done
082323-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230823_LH00150_0165_B22CH2JLT3,done,done
082323-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230823_A02051_0207_BHJV22DSX7,done,done
082423-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230824_LH00150_0166_A22CH2MLT3,done,done
082423-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230824_LH00150_0167_B22CGNHLT3,error,done
082523-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230825_LH00150_0169_A22CHKVLT3,done,done
082523-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230825_LH00150_0168_B22CGYVLT3,error,done
082823-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230828_LH00150_0170_A22CH2WLT3,error,done
082823-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230828_LH00150_0171_B22CH3NLT3,error,done
082823-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230828_A02051_0208_AHJV77DSX7,done,done
082923-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230829_LH00150_0172_A22CJJWLT3,done,done
082923-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230829_LH00150_0173_B22CJJNLT3,done,done
083023-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230830_LH00150_0174_A22CJJKLT3,done,done
083023-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230830_LH00150_0175_B22CJJFLT3,error,done
083023-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230830_A02051_0209_AHJMTKDSX7,done,done
0832123-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230831_LH00150_0176_A22CJJJLT3,done,done
083123-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230831_LH00150_0177_B22CJJYLT3,done,done
090123-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230901_A02051_0210_AHJVJHDSX7,done,done
090223-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230902_LH00150_0178_B22CGNNLT3,done,done
090223-SP-fc1,/mnt/novaoutput/NovaSeq/MyRun/230902_A02051_0211_BHHCMCDRX3,done,done
090323-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230903_LH00150_0179_B22CH27LT3,done,done
090423-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230904_LH00150_0180_B22CCLWLT3,done,done
090423-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230904_A02051_0212_AHJVFYDSX7,error,error
090623-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230906_LH00150_0181_B22CJHYLT3,done,done
090723-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230907_A02051_0213_BHJV2CDSX7,done,done
090823-S2-fc1,/mnt/novaoutput/NovaSeq/MyRun/230908_A02051_0214_AHHJY2DMXY,no need,no need
090923-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230909_LH00150_0183_A22CH3VLT3,done,done
090923-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230909_LH00150_0182_B22CGNJLT3,done,done
091023-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230910_LH00150_0185_A227VL3LT3,done,done
091023-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230910_LH00150_0184_B227VLHLT3,done,done
091023-S1-fc1,/mnt/novaoutput/NovaSeq/MyRun/230910_A02051_0216_AHGKKKDRX3,done,done
091123-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230911_LH00150_0187_A22CJ2LLT3,done,done
091123-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230911_LH00150_0186_B22CHMJLT3,error,done
091023-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230910_A02051_0215_BHKKHCDSX7,done,done
091223-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230912_A02051_0217_BHJVK5DSX7,done,done
091223-SP-fc1,/mnt/novaoutput/NovaSeq/MyRun/230912_A02051_0218_AHLFM3DRX3,done,done
091323-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230913_LH00150_0188_A2272NCLT3,done,done
091423-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230914_A02051_0219_AHJKHTDSX7,done,done
091423-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230914_LH00150_0189_A22CJKCLT3,error,done
091423-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230914_LH00150_0190_B22CJJVLT3,done,done
091523-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230915_LH00150_0191_B22CJJ3LT3,done,done
091523-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230915_LH00150_0192_A22CJJMLT3,done,done
091523-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230915_A02051_0220_BHJMTLDSX7,done,done
091723-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230916_A02051_0221_AHKLLKDSX7,done,done
091723-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/230917_A02051_0222_BHKLNWDSX7,done,done
091823-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230918_LH00150_0193_B22CNVKLT3,done,done
091823-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230918_LH00150_0194_A22C753LT3,done,done
091823-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230918_A02051_0223_AHKM7JDSX7,done,done
091923-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230919_LH00150_0195_A22CMHLLT3,done,done
091923-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230919_A02051_0224_BHJTWGDSX7,done,done
092023-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230920_LH00150_0196_A22C7MVLT3,failed,failed
092123-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/230921_A02051_0226_BHLNH3DSX7,done,done
092123-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230921_A02051_0225_AHLT2GDSX7,done,done
092223-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230922_LH00150_0197_B22F23MLT3,done,done
092223-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230922_LH00150_0198_A22CWY3LT3,done,done
092323-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230923_A02051_0227_AHL2FYDSX7,done,done
092323-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/230923_A02051_0228_BHKYWGDSX7,done,done
092323-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230923_LH00150_0200_A22C3T3LT3,done,done
092323-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230923_LH00150_0199_B22C5TNLT3,done,done
092523-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230925_LH00150_0201_A22CH2LLT3,done,done
092623-S1-fc1,/mnt/novaoutput/NovaSeq/MyRun/230926_A02051_0229_AHL3VTDRX3,done,done
092623-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230926_LH00150_0202_A22F3K5LT3,done,done
092723-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230927_LH00150_0203_A22F3JYLT3,done,done
092723-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230927_LH00150_0204_B22F3H5LT3,done,done
092823-XP-fc1,/mnt/novaoutput/NovaSeqXP/20230928_LH00150_0205_A22F3JTLT3,done,done
092923-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230929_LH00150_0206_B22CH2CLT3,done,done
093023-XP-fc2,/mnt/novaoutput/NovaSeqXP/20230930_LH00150_0207_B22F3FVLT3,done,done
093023-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/230930_A02051_0230_AHL275DSX7,done,done
093023-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/230930_A02051_0231_BHL233DSX7,done,done
100123-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231001_LH00150_0208_B22C7N5LT3,done,done
100223-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231002_LH00150_0209_B22F3H2LT3,error,done
100223-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231002_A02051_0232_AHLNY2DSX7,done,done
100323-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231003_A02051_0233_BHLNHFDSX7,done,done
